,county_year,eyewear_coverage_indicator,monthlyconsolidatedpremiumi,dental_coverage_indicator,hearing_aides_coverage_indicator,treated,untreated,excluded,persistent_treated,persistent_excluded,year,specialist_min_copay,county_encoded,Median_Household_Income,Total_Population,Percent_Hispanic,Percent_NonHispanic_Black,Percent_Unemployed,Percent_Female,Percent_Below_Poverty,Percent_HS,Percent_College
67,01130_2011,0.6,44.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,20.0,2503.0,35410.0,14010.0,2.6980728051391862,15.795860099928621,10.91342335186656,51.227694503925775,18.739489654163926,72.84916201117319,9.050279329608939
68,01130_2012,0.2,44.6,0.6,0.0,0.0,1.0,0.0,0.0,0.0,2012.0,20.0,2503.0,34556.0,13828.0,2.899913219554527,15.59878507376338,11.687008861394416,50.92565808504483,19.832753644638494,74.16520210896309,8.84937454771012
69,01130_2013,0.2,46.4,0.4,0.0,0.0,1.0,0.0,0.0,0.0,2013.0,20.0,2503.0,34002.0,13703.0,3.028533897686638,15.252134569072464,12.913626336331243,50.92315551339123,18.966547192353644,76.51334233205274,9.209843214619458
70,01130_2014,0.25,58.25,0.75,0.0,0.0,1.0,0.0,0.0,0.0,2014.0,20.0,2503.0,35286.0,13617.0,3.113754865241977,14.584710288609825,10.897659797415299,50.936329588014985,18.65974729241877,74.86486486486487,8.575883575883577
71,01130_2015,0.5,58.25,0.75,0.0,0.0,1.0,0.0,0.0,0.0,2015.0,21.25,2503.0,35327.0,13537.0,3.1764792790130754,14.39018985004063,9.361329833770778,50.72024820861343,16.65027611770936,75.07079181961196,9.585736759307812
72,01130_2016,0.75,61.0,0.75,0.25,0.0,1.0,0.0,0.0,0.0,2016.0,21.25,2503.0,38815.0,13483.0,3.107616999184158,14.74449306534154,6.591530054644809,51.55380849959208,16.748054326262782,74.61359305526149,11.062883760321828
73,01130_2017,0.5,57.5,0.75,0.25,0.0,1.0,0.0,0.0,0.0,2017.0,21.25,2503.0,37287.0,13407.0,3.1103155068247927,14.708734243305734,6.436820652173914,51.734168717833974,19.104912253812554,73.29455314648334,10.259122157588578
74,01130_2018,0.8571428571428571,62.42857142857143,0.7142857142857143,0.5714285714285714,0.0,1.0,0.0,0.0,0.0,2018.0,33.57142857142857,2503.0,41225.0,13378.0,3.102107938406339,14.733143967708179,6.385135135135135,51.68186574973838,18.44325153374233,75.49811523963383,10.16693591814755
75,01130_2019,0.75,51.9125,1.0,0.75,0.0,1.0,0.0,0.0,0.0,2019.0,33.57142857142857,2503.0,40845.0,13337.0,3.1416360500862264,15.50573592262128,5.408180729077529,51.72827472445077,17.947735458655835,76.68886774500476,10.561370123691722
76,01250_2007,0.6818181818181818,40.00909090909091,0.4090909090909091,0.3181818181818182,0.0,0.0,0.0,0.0,0.0,2007.0,23.157894736842106,12.0,50675.0,75436.0,,,8.381581739367668,49.61556816374145,14.126724607750338,81.1138014527845,18.167945144159358
